Communauté,Région,Département,Commune,Zone,Zone_ID,Statut_PRCC,Jeunes_15_35,RPP,PS,Score_PRCC,Score_Jeunesse,Score_Proximite,Score_Densite,Score_Total,Latitude,Longitude
koulinto,Kolda,Kolda,Coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,88,Non,Non,30,3,15,0,48,12.683333,-14.433333
coumbacara,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,567,Non,Non,30,20,15,0,65,12.71,-14.48
nianindiya,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,128,Non,Non,30,8,15,0,53,12.72,-14.45
ainemady demba,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,146,Non,Non,30,8,15,0,53,12.77,-14.54
diambour kombo,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,146,Non,Non,30,8,15,0,53,12.74,-14.59
marewe demba mballo,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,146,Non,Non,30,8,15,0,53,12.74,-14.59
marewe moussa,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,146,Non,Non,30,8,15,0,53,12.78,-14.5
medina ansoumana,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,146,Non,Non,30,8,15,0,53,12.76,-14.57
medina demba billo,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,146,Non,Non,30,8,15,0,53,12.74,-14.36
medina yira niampayo,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,146,Non,Non,30,8,15,0,53,12.76,-14.51
missira diomel,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,146,Non,Non,30,8,15,0,53,12.78,-14.5
missira moussa,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,146,Non,Non,30,8,15,0,53,12.75,-14.51
sare alette fady,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,146,Non,Non,30,8,15,0,53,12.75,-14.5
sare karfa,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,146,Non,Non,30,8,15,0,53,12.77,-14.5
sare lao bambe,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,146,Non,Non,30,8,15,0,53,12.76,-14.56
sare niyel,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,146,Non,Non,30,8,15,0,53,12.77,-14.51
sinthiang dabal,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,146,Non,Non,30,8,15,0,53,12.76,-14.43
temento tobo,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,146,Non,Non,30,8,15,0,53,12.76,-14.58
thiarape,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,146,Non,Non,30,8,15,0,53,12.78,-14.51
koudora,Kolda,Kolda,coumbacara,Zone 1 – Kolda & Sédhiou,1,EN COURS,85,Non,Non,30,3,15,0,48,12.74,-14.59
Kandia,Kolda,Vélingara,Kandia,Zone 1 – Kolda & Sédhiou,1,Terminé 2010,551,Oui,Oui,3,20,15,15,53,13.083333,-14.233333
Médina  Marie Cissé I,Kolda,Vélingara,Kandia,Zone 1 – Kolda & Sédhiou,1,Terminé 2010,216,Oui,Oui,3,14,15,15,47,13.0783962,-14.0545411
Afia  Wambabé,Kolda,Vélingara,Kandia,Zone 1 – Kolda & Sédhiou,1,Terminé 2010,216,Oui,Non,3,14,15,8,40,13.0783962,-14.0545411
Lambatara  II,Kolda,Vélingara,Kandia,Zone 1 – Kolda & Sédhiou,1,Terminé 2010,216,Non,Oui,3,14,15,7,39,13.2,-14.266667
Lambatara I,Kolda,Vélingara,Kandia,Zone 1 – Kolda & Sédhiou,1,Terminé 2010,216,Non,Oui,3,14,15,7,39,13.2,-14.266667
Dialaka,Kolda,Vélingara,Kandia,Zone 1 – Kolda & Sédhiou,1,Terminé 2010,416,Non,Non,3,20,15,0,38,13.2,-14.183333
Saré Nagué,Kolda,Vélingara,Kandia,Zone 1 – Kolda & Sédhiou,1,Terminé 2010,410,Non,Non,3,20,15,0,38,13.0783962,-14.0545411
Afia Mbemba,Kolda,Vélingara,Linkéring,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,216,Non,Oui,15,14,15,7,51,12.94926,-13.74553
Boumoung Sammaye,Kolda,Vélingara,Linkéring,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,216,Non,Oui,15,14,15,7,51,12.94926,-13.74553
Dar Salam,Kolda,Vélingara,Linkéring,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,216,Non,Oui,15,14,15,7,51,12.94926,-13.74553
Demaba Gnama,Kolda,Vélingara,Linkéring,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,216,Non,Oui,15,14,15,7,51,12.94926,-13.74553
Linkéring/Quartier Sinthiang Houlata1,Kolda,Vélingara,Linkéring,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,216,Non,Oui,15,14,15,7,51,12.94926,-13.74553
Missirah Samba (Mougniny),Kolda,Vélingara,Linkéring,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,216,Non,Oui,15,14,15,7,51,12.94926,-13.74553
Tonguiya,Kolda,Vélingara,Linkéring,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,216,Non,Oui,15,14,15,7,51,12.833333,-13.7
Wadiyatoulaye,Kolda,Vélingara,Linkéring,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,216,Non,Oui,15,14,15,7,51,12.94926,-13.74553
Linkéring,Kolda,Vélingara,Linkéring,Zone 1 – Kolda & Sédhiou,1,Terminé 2010,1329,Non,Non,3,25,15,0,43,12.94926,-13.74553
Temento Pakane,Kolda,Vélingara,Linkéring,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,92,Non,Oui,15,3,15,7,40,12.94926,-13.74553
Barkatou,Kolda,Vélingara,Linkéring,Zone 1 – Kolda & Sédhiou,1,Terminé 2010,216,Oui,Non,3,14,15,8,40,12.94926,-13.74553
Lislam,Kolda,Vélingara,Linkéring,Zone 1 – Kolda & Sédhiou,1,Terminé 2010,216,Oui,Non,3,14,15,8,40,12.94926,-13.74553
Dioumana,Kolda,Médina Yoro Foulah,Ndorna,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,107,Oui,Non,8,8,15,8,39,13.2079245,-15.1437652
Gonbantang  Fodé (saré dembouga),Kolda,Médina Yoro Foulah,Ndorna,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,107,Oui,Non,8,8,15,8,39,13.2079245,-15.1437652
Saré Kanta,Kolda,Médina Yoro Foulah,Ndorna,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,107,Oui,Non,8,8,15,8,39,13.2079245,-15.1437652
Saré Simaly,Kolda,Médina Yoro Foulah,Ndorna,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,107,Oui,Non,8,8,15,8,39,13.2079245,-15.1437652
Sindianding,Kolda,Médina Yoro Foulah,Ndorna,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,107,Oui,Non,8,8,15,8,39,13.2079245,-15.1437652
Vélingara Pakane,Kolda,Vélingara,linkering,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,216,Non,Oui,15,14,15,7,51,12.94926,-13.74553
Sobouldé,Kolda,Médina Yoro Foulah,ndorna,Zone 1 – Kolda & Sédhiou,1,Terminé 2012,413,Oui,Non,3,20,15,8,46,13.166667,-15.1
Ndorna,Kolda,Médina Yoro Foulah,ndorna,Zone 1 – Kolda & Sédhiou,1,Terminé 2012,206,Oui,Non,3,14,15,8,40,13.166667,-15.033333
Saré  Sény,Kolda,Médina Yoro Foulah,ndorna,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,107,Oui,Non,8,8,15,8,39,13.05,-15.166667
Sinthiang Pathé Dianambé,Kolda,Médina Yoro Foulah,ndorna,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,107,Oui,Non,8,8,15,8,39,13.2079245,-15.1437652
Sanankoro,Kolda,Médina Yoro Foulah,Bignarabé,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,125,Oui,Oui,25,8,15,15,63,12.9258472,-14.8863348
Saré Bacary Wassa,Kolda,Médina Yoro Foulah,Bignarabé,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,107,Oui,Oui,25,8,15,15,63,12.9261783,-14.8834031
saré Madiw,Kolda,Médina Yoro Foulah,Bignarabé,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,107,Oui,Oui,25,8,15,15,63,12.9261783,-14.8834031
Saré Diatta Mballo,Kolda,Médina Yoro Foulah,Bignarabé,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,77,Oui,Oui,25,3,15,15,58,12.9117558,-14.887914
Mankagny Sory (Boussoura sory),Kolda,Médina Yoro Foulah,Bignarabé,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,107,Oui,Non,8,8,15,8,39,12.9261783,-14.8834031
Hamdallaye Alpha,Kolda,Médina Yoro Foulah,Niaming,Zone 1 – Kolda & Sédhiou,1,Terminé 2011,246,Oui,Non,3,14,15,8,40,13.333333,-14.6
Sinthiang Demba Sira,Kolda,Médina Yoro Foulah,Niaming,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,107,Oui,Non,8,8,15,8,39,13.3124764,-14.7602178
Tabanany (Yéro Egué),Kolda,Médina Yoro Foulah,Niaming,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,107,Oui,Non,8,8,15,8,39,13.3124764,-14.7602178
Gallouyel Demba,Kolda,Médina Yoro Foulah,bignarabe,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,107,Oui,Oui,25,8,15,15,63,12.9261783,-14.8834031
Saré Guiro,Kolda,Médina Yoro Foulah,bignarabe,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,107,Oui,Oui,25,8,15,15,63,12.946504,-14.8550544
Saré Hamidou Diao,Kolda,Médina Yoro Foulah,bignarabe,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,107,Oui,Oui,25,8,15,15,63,12.9261783,-14.8834031
Saré Samba DIAO,Kolda,Médina Yoro Foulah,bignarabe,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,107,Oui,Oui,25,8,15,15,63,12.991098,-14.9241221
Sinthiang Coly,Kolda,Médina Yoro Foulah,bignarabe,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,107,Oui,Oui,25,8,15,15,63,12.9261783,-14.8834031
Témento Samba,Kolda,Médina Yoro Foulah,bignarabe,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,107,Oui,Oui,25,8,15,15,63,12.9261783,-14.8834031
Tamassanka,Kolda,Médina Yoro Foulah,bignarabe,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,82,Oui,Oui,25,3,15,15,58,12.9292347,-14.9271196
Sossoutou,Kolda,Médina Yoro Foulah,bignarabe,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,107,Oui,Non,8,8,15,8,39,12.9261783,-14.8834031
Kibassa,Kolda,Médina Yoro Foulah,niaming,Zone 1 – Kolda & Sédhiou,1,Terminé 2011,270,Oui,Non,3,14,15,8,40,13.3240953,-14.7754945
Maréwé Kéléfa,Kolda,Médina Yoro Foulah,niaming,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,107,Oui,Non,8,8,15,8,39,13.3124764,-14.7602178
Marewe,Kolda,Vélingara,Kounkané,Zone 1 – Kolda & Sédhiou,1,Terminé 2006,457,Oui,Non,3,20,15,8,46,12.9300502,-14.0798839
Bari Counda,Kolda,Vélingara,Kounkané,Zone 1 – Kolda & Sédhiou,1,Terminé 2006,216,Oui,Non,3,14,15,8,40,12.716667,-14.033333
Bati,Kolda,Vélingara,Kounkané,Zone 1 – Kolda & Sédhiou,1,Terminé 2006,216,Oui,Non,3,14,15,8,40,12.9300502,-14.0798839
Goundaga,Kolda,Vélingara,Kounkané,Zone 1 – Kolda & Sédhiou,1,Terminé 2006,216,Oui,Non,3,14,15,8,40,12.866667,-14.066667
Sare Mady,Kolda,Vélingara,Kounkané,Zone 1 – Kolda & Sédhiou,1,Terminé 2006,216,Oui,Non,3,14,15,8,40,12.9300502,-14.0798839
Sare Yeroyel,Kolda,Vélingara,Kounkané,Zone 1 – Kolda & Sédhiou,1,Terminé 2006,468,Non,Non,3,20,15,0,38,13.1,-14.083333
Kéréwane,Kolda,Médina Yoro Foulah,kerewane,Zone 1 – Kolda & Sédhiou,1,Terminé 2010,838,Non,Non,3,25,15,0,43,13.433333,-14.983333
